occ,description
4230,Grounds maintenance workers
4240,Personal Care and Service Occupations:
4250,First-line supervisors of gaming workers
4300,Animal trainers
4320,Nonfarm animal caretakers
4340,Gaming services workers
4350,Motion picture projectionists
4400,"Ushers, lobby attendants, and ticket takers"
4410,Miscellaneous entertainment attendants and related workers
4420,Embalmers and funeral attendants
4430,"Morticians, undertakers, and funeral directors"
4460,Barbers
4465,"Hairdressers, hairstylists, and cosmetologists"
4500,Miscellaneous personal appearance workers
4510,"Baggage porters, bellhops, and concierges"
4520,Tour and travel guides
4530,Childcare workers
4540,Personal care aides
4600,Recreation and fitness workers
4610,Residential advisors
4620,"Personal care and service workers, all other "
4640,Sales and Related Occupations:
4650,First-line supervisors of retail sales workers
4700,Counter and rental clerks
4710,Parts salespersons
4720,Retail salespersons
4740,Advertising sales agents
4750,Insurance sales agents
4760,"Securities, commodities, and financial services sales agents"
4800,Travel agents
4810,"Sales representatives, services, all other"
4820,"Sales representatives, wholesale and manufacturing"
4830,"Models, demonstrators, and product promoters"
4840,Real estate brokers and sales agents
4850,Sales engineers
4900,Telemarketers
4920,"Door-to-door sales workers, news and street vendors, and related workers"
4930,"Sales and related workers, all other"
4940,Office and Administrative Support Occupations:
4950,First-line supervisors of office and administrative support workers
4965,"Switchboard operators, including answering service"
5000,"Communications equipment operators, all other"
5010,Bill and account collectors
5020,Billing and posting clerks
5030,"Bookkeeping, accounting, and auditing clerks"
5100,Gaming cage workers
5110,Payroll and timekeeping clerks
5120,Procurement clerks
5130,Tellers
5140,"Financial clerks, all other"
5150,Brokerage clerks
5160,Correspondence clerks
5165,"Court, municipal, and license clerks"
5200,"Credit authorizers, checkers, and clerks"
5210,Customer service representatives
5220,"Eligibility interviewers, government programs"
5230,File clerks
5240,"Hotel, motel, and resort desk clerks"
5250,"Interviewers, except eligibility and loan"
5260,"Library assistants, clerical"
5300,Loan interviewers and clerks
5310,New accounts clerks
5320,Order clerks
5330,"Human resources assistants, except payroll and timekeeping"
5340,Receptionists and information clerks
5350,Reservation and transportation ticket agents and travel clerks
5360,"Information and record clerks, all other"
5400,Cargo and freight agents
5410,Couriers and messengers
5420,Dispatchers
5500,"Meter readers, utilities"
5510,Postal service clerks
5520,Postal service mail carriers
5530,"Postal service mail sorters, processors, and processing machine operators"
5540,"Production, planning, and expediting clerks"
5550,"Shipping, receiving, and traffic clerks"
5560,Stock clerks and order fillers
5600,"Weighers, measurers, checkers, and samplers, recordkeeping"
5610,Secretaries and administrative assistants
5620,Computer operators
5630,Data entry keyers
5700,Word processors and typists
5800,Desktop publishers
5810,Insurance claims and policy processing clerks
5820,"Mail clerks and mail machine operators, except postal service"
5830,"Office clerks, general"
5840,"Office machine operators, except computer"
5850,Proofreaders and copy markers
5860,Statistical assistants
5900,"Office and administrative support workers, all other"
5910,"Farming, Fishing, and Forestry Occupations:"
5920,"First-line supervisors of farming, fishing, and forestry workers"
5940,Agricultural inspectors
6005,Miscellaneous agricultural workers
6010,Fishers and related fishing workers
6020,Hunters and trappers
6040,Forest and conservation workers
6050,Logging workers
6100,Construction and Extraction Occupations:
6110,First-line supervisors of construction trades and extraction workers
6120,Boilermakers
6130,"Brickmasons, blockmasons, and stonemasons"
6200,"Carpet, floor, and tile installers and finishers"
6210,"Cement masons, concrete finishers, and terrazzo workers"
6220,Construction laborers
6230,"Paving, surfacing, and tamping equipment operators"
6240,Pile-driver operators
6250,Operating engineers and other construction equipment operators
6260,"Drywall installers, ceiling tile installers, and tapers"
6300,Electricians
6310,Glaziers
6320,Insulation workers
6330,"Painters, construction and maintenance"
6355,Paperhangers
6360,"Pipelayers, plumbers, pipefitters, and steamfitters"
6400,Plasterers and stucco masons
6420,Reinforcing iron and rebar workers
6430,Roofers
6440,Sheet metal workers
6460,Structural iron and steel workers
6500,Solar photovoltaic installers
6515,"Helpers, construction trades"
6520,Construction and building inspectors
6530,Elevator installers and repairers
6540,Fence erectors
6600,Hazardous materials removal workers
6660,Highway maintenance workers
6700,Rail-track laying and maintenance equipment operators
6710,Septic tank servicers and sewer pipe cleaners
6720,Miscellaneous construction and related workers
6730,"Derrick, rotary drill, and service unit operators, oil, gas, and mining"
6740,"Earth drillers, except oil and gas"
6750,"Explosives workers, ordnance handling experts, and blasters"
6765,Mining machine operators
6800,"Roof bolters, mining"
6820,"Roustabouts, oil and gas"
6830,Helpers--extraction workers
6840,Other extraction workers
6910,"Installation, Maintenance, and Repair Occupations:"
6920,"First-line supervisors of mechanics, installers, and repairers"
6930,"Computer, automated teller, and office machine repairers"
6940,Radio and telecommunications equipment installers and repairers
7000,"Electric motor, power tool, and related repairers"
7010,"Electrical and electronics installers and repairers, transportation equipment"
7020,"Electrical and electronics repairers, industrial and utility"
7030,"Electronic equipment installers and repairers, motor vehicles"
7040,Electronic home entertainment equipment installers and repairers
7050,Security and fire alarm systems installers
7100,Aircraft mechanics and service technicians
7110,Automotive body and related repairers
7120,Automotive glass installers and repairers
7130,Automotive service technicians and mechanics
7140,Bus and truck mechanics and diesel engine specialists
7150,Heavy vehicle and mobile equipment service technicians and mechanics
7160,Small engine mechanics
7200,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
7210,Control and valve installers and repairers
7220,"Heating, air conditioning, and refrigeration mechanics and installers"
7240,Home appliance repairers
7260,Industrial and refractory machinery mechanics
7300,"Maintenance and repair workers, general"
7315,"Maintenance workers, machinery"
7320,Millwrights
7330,Electrical power-line installers and repairers
7340,Telecommunications line installers and repairers
7350,Precision instrument and equipment repairers
7360,Wind turbine service technicians
7410,"Coin, vending, and amusement machine servicers and repairers"
7420,Commercial divers
7430,Locksmiths and safe repairers
7440,Manufactured building and mobile home installers
7510,Riggers
7520,Signal and track switch repairers
7540,"Helpers--installation, maintenance, and repair workers "
7550,"Other installation, maintenance, and repair workers"
7560,Production Occupations:
7600,First-line supervisors of production and operating workers
7610,"Aircraft structure, surfaces, rigging, and systems assemblers"
7630,"Electrical, electronics, and electromechanical assemblers"
7700,Miscellaneous assemblers and fabricators
7710,Bakers
7720,"Butchers and other meat, poultry, and fish processing workers"
7730,"Food and tobacco roasting, baking, and drying machine operators and tenders"
7740,Food batchmakers
7750,Food cooking machine operators and tenders
7800,"Food processing workers, all other"
7810,Computer control programmers and operators
7830,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
7840,"Forging machine setters, operators, and tenders, metal and plastic"
7850,"Rolling machine setters, operators, and tenders, metal and plastic"
7855,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
7900,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic "
7920,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
7930,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
7940,"Milling and planing machine setters, operators, and tenders, metal and plastic"
7950,Machinists
7960,"Metal furnace operators, tenders, pourers, and casters"
8000,"Model makers and patternmakers, metal and plastic"
8010,"Molders and molding machine setters, operators, and tenders, metal and plastic"
8020,"Multiple machine tool setters, operators, and tenders, metal and plastic "
8030,Tool and die makers
8040,"Welding, soldering, and brazing workers"
