fips,nchs
17079,6
17081,5
17083,2
17085,6
17087,6
17089,2
17091,4
17093,2
17095,5
17097,2
17099,5
17101,6
17103,5
17105,5
17107,5
17109,5
17111,2
17113,4
17115,4
17117,6
17119,2
17121,5
17123,6
17125,6
17127,6
17129,4
17131,6
17133,2
17135,6
17137,5
17139,6
17141,3
17143,3
17145,6
17147,6
17149,6
17151,6
17153,6
17155,6
17157,6
17159,6
17161,3
17163,2
17165,6
17167,4
17169,6
17171,6
17173,6
17175,6
17177,5
17179,3
17181,6
17183,5
17185,6
17187,6
17189,6
17191,6
17193,6
17195,5
17197,2
17199,5
17201,3
17203,3
18001,3
18003,3
18005,5
18007,6
18009,6
18011,2
18013,6
18015,6
18017,5
18019,3
18021,4
18023,4
18025,6
18027,5
18029,2
18031,6
18033,3
18035,4
18037,5
18039,4
18041,5
18043,3
18045,6
18047,6
18049,6
18051,6
18053,5
18055,6
18057,2
18059,2
18061,3
18063,2
18065,5
18067,4
18069,3
18071,5
18073,6
18075,6
18077,5
18079,6
18081,2
18083,5
18085,5
18087,6
18089,2
18091,5
18093,5
18095,2
18097,1
18099,6
18101,6
18103,5
18105,4
18107,5
18109,2
18111,6
18113,6
18115,2
18117,6
18119,6
18121,6
18123,6
18125,6
18127,2
18129,3
18131,6
18133,6
18135,6
18137,6
18139,6
18141,4
18143,3
18145,2
18147,6
18149,6
18151,6
18153,6
18155,6
18157,4
18159,4
18161,6
18163,3
18165,4
18167,4
18169,5
18171,6
18173,3
18175,6
18177,5
18179,3
18181,6
18183,3
19001,6
19003,6
19005,6
19007,6
19009,6
19011,6
19013,4
19015,5
19017,6
19019,6
19021,6
19023,6
19025,6
19027,6
19029,6
19031,6
19033,5
19035,6
19037,6
19039,6
19041,5
19043,6
19045,5
19047,6
19049,3
19051,6
19053,6
19055,6
19057,5
19059,6
19061,4
19063,6
19065,6
19067,6
19069,6
19071,6
19073,6
19075,6
19077,6
19079,6
19081,6
19083,6
19085,6
19087,6
19089,6
19091,6
19093,6
19095,6
19097,6
19099,5
19101,6
19103,4
19105,6
19107,6
19109,6
19111,5
19113,4
19115,6
19117,6
19119,6
19121,6
19123,5
19125,6
19127,5
19129,6
19131,6
19133,6
19135,6
19137,6
19139,5
19141,6
19143,6
19145,6
19147,6
19149,6
19151,6
19153,3
19155,3
19157,6
19159,6
19161,6
19163,3
19165,6
19167,6
19169,5
19171,6
19173,6
19175,6
19177,6
19179,5
19181,3
19183,6
19185,6
19187,5
19189,6
19191,6
19193,4
19195,6
19197,6
20001,6
20003,6
20005,5
20007,6
20009,5
20011,6
20013,6
20015,3
20017,6
20019,6
20021,6
20023,6
20025,6
20027,6
20029,6
20031,6
20033,6
20035,5
20037,5
20039,6
20041,6
20043,6
20045,4
20047,6
20049,6
20051,5
20053,6
20055,5
20057,5
20059,5
20061,5
20063,6
20065,6
20067,6
20069,6
20071,6
20073,6
20075,6
20077,6
20079,3
20081,6
20083,6
20085,6
20087,6
20089,6
20091,2
20093,6
20095,6
20097,6
20099,5
20101,6
20103,2
20105,6
20107,6
20109,6
20111,5
20113,5
20115,6
20117,6
20119,6
20121,2
20123,6
20125,5
20127,6
20129,6
20131,6
20133,6
20135,6
20137,6
20139,6
20141,6
20143,6
20145,6
20147,6
20149,5
20151,6
20153,6
20155,5
20157,6
20159,6
20161,5
20163,6
20165,6
20167,6
20169,5
20171,6
20173,3
20175,5
20177,4
20179,6
20181,6
20183,6
20185,6
20187,6
20189,6
20191,6
20193,6
20195,6
20197,6
20199,6
20201,6
20203,6
20205,6
20207,6
20209,1
21001,6
21003,6
21005,6
21007,6
21009,5
21011,6
21013,5
21015,2
21017,3
21019,3
21021,5
21023,6
21025,6
21027,6
21029,3
21031,6
21033,6
21035,5
21037,2
21039,6
21041,6
21043,3
21045,6
21047,4
21049,3
21051,6
21053,6
21055,6
21057,6
21059,4
21061,6
21063,6
21065,6
21067,3
21069,6
21071,6
21073,5
21075,6
21077,2
21079,6
21081,2
21083,6
21085,6
21087,6
21089,3
21091,6
21093,5
21095,6
21097,6
21099,6
21101,3
21103,6
21105,6
21107,5
21109,6
21111,3
21113,3
21115,6
21117,2
21119,6
21121,6
21123,6
21125,6
21127,6
21129,6
21131,6
21133,6
21135,6
21137,6
21139,6
21141,6
21143,6
21145,5
21147,6
21149,6
21151,3
21153,6
21155,6
21157,6
21159,6
21161,6
21163,5
21165,6
21167,6
21169,6
21171,6
21173,6
21175,6
21177,6
21179,6
21181,6
21183,6
21185,3
21187,6
21189,6
21191,2
21193,6
21195,6
21197,6
21199,5
21201,6
21203,6
21205,6
21207,6
21209,3
21211,6
21213,6
21215,6
21217,6
21219,6
21221,6
21223,6
21225,6
21227,5
21229,6
21231,6
21233,6
21235,6
21237,6
21239,3
22001,3
22003,6
22005,3
22007,6
22009,6
22011,6
22013,6
22015,3
22017,3
22019,4
22021,6
22023,6
22025,6
22027,6
22029,6
22031,6
22033,3
22035,6
22037,6
22039,6
22041,6
22043,6
22045,5
22047,6
22049,6
22051,2
22053,5
22055,3
22057,4
22059,6
22061,5
22063,3
22065,6
22067,5
22069,5
22071,1
22073,4
22075,2
22077,6
22079,4
22081,6
22083,6
22085,6
22087,2
22089,2
22091,6
22093,2
22095,2
22097,3
22099,3
22101,5
22103,2
22105,5
22107,6
22109,4
22111,6
22113,5
22115,5
22117,5
22119,3
22121,3
22123,6
22125,6
22127,6
23001,4
23003,5
23005,4
23007,6
23009,6
23011,5
23013,6
23015,6
23017,6
23019,4
23021,6
23023,6
23025,6
23027,6
23029,6
23031,5
24001,4
24003,2
24005,2
24009,2
24011,6
24013,2
24015,3
24017,2
24019,5
24021,2
24023,6
24025,2
24027,2
24029,6
24031,2
24033,2
24035,2
24037,6
24039,6
24041,6
24043,4
24045,5
24047,6
24510,1
25001,4
25003,4
25005,3
25007,6
25009,2
25011,5
25013,3
25015,3
25017,1
25019,6
25021,2
25023,2
25025,1
25027,2
26001,6
26003,6
26005,3
26007,5
26009,6
26011,6
26013,6
26015,6
26017,3
26019,6
26021,4
26023,6
26025,3
26027,5
26029,6
26031,6
26033,5
26035,6
26037,3
26039,6
26041,5
26043,6
26045,3
26047,6
26049,3
26051,6
26053,6
26055,5
26057,6
26059,6
26061,6
26063,6
26065,3
26067,6
26069,6
26071,6
26073,5
26075,4
26077,3
26079,6
26081,3
26083,6
26085,6
26087,2
26089,5
26091,2
26093,2
26095,6
26097,6
26099,2
26101,6
26103,5
26105,6
26107,5
26109,6
26111,3
26113,6
26115,2
26117,6
26119,6
26121,3
26123,6
26125,2
26127,6
26129,6
26131,6
26133,6
26135,6
26137,6
26139,3
26141,6
26143,6
26145,3
26147,2
26149,5
26151,6
26153,6
26155,5
26157,6
26159,3
26161,2
26163,1
26165,5
27001,6
27003,2
27005,6
27007,5
27009,4
27011,6
27013,5
27015,5
27017,5
27019,2
27021,6
27023,6
27025,2
27027,4
27029,6
27031,6
27033,6
27035,5
27037,2
27039,6
27041,6
27043,6
27045,6
27047,5
27049,5
27051,6
27053,1
27055,4
27057,6
27059,2
27061,6
27063,6
27065,6
27067,5
27069,6
27071,6
27073,6
27075,6
27077,6
27079,6
27081,6
27083,5
27085,5
27087,6
27089,6
27091,5
27093,6
27095,6
27097,6
27099,5
27101,6
27103,5
27105,6
27107,6
27109,4
27111,5
27113,6
27115,6
27117,6
27119,4
27121,6
27123,1
27125,6
27127,6
27129,6
27131,5
27133,6
27135,6
27137,4
27139,2
27141,2
27143,6
27145,4
27147,5
27149,6
27151,6
27153,6
27155,6
27157,6
27159,6
27161,6
27163,2
27165,6
27167,6
27169,5
27171,2
27173,6
28001,5
28003,5
28005,6
28007,6
28009,6
28011,5
28013,6
28015,6
28017,6
28019,6
28021,6
28023,6
28025,6
28027,5
28029,6
28031,6
28033,2
28035,5
28037,6
28039,6
28041,6
28043,5
28045,3
28047,3
28049,3
28051,6
28053,6
28055,6
28057,6
28059,3
28061,6
28063,6
28065,6
28067,5
28069,6
28071,6
28073,5
28075,5
28077,6
28079,6
28081,5
28083,5
28085,5
28087,5
28089,3
28091,6
28093,6
28095,6
28097,6
28099,6
28101,6
28103,6
28105,5
28107,6
28109,5
28111,6
28113,5
28115,6
28117,6
28119,6
28121,3
28123,6
28125,6
28127,6
28129,6
28131,6
28133,5
28135,6
28137,6
28139,6
28141,6
28143,6
28145,6
28147,6
28149,5
28151,5
28153,6
28155,6
28157,6
28159,6
28161,6
28163,5
29001,5
29003,4
29005,6
29007,5
29009,6
29011,6
29013,6
29015,6
29017,6
29019,4
29021,4
29023,5
29025,6
29027,5
29029,6
29031,5
29033,6
29035,6
29037,2
29039,6
29041,6
29043,3
29045,6
29047,1
29049,2
29051,5
29053,6
29055,6
29057,6
29059,6
29061,6
29063,6
29065,6
29067,6
29069,5
29071,2
29073,6
29075,6
29077,3
29079,6
29081,6
29083,6
29085,6
29087,6
29089,6
29091,6
29093,6
29095,1
29097,4
29099,2
29101,5
29103,6
29105,6
29107,2
29109,6
29111,6
29113,2
29115,6
29117,6
29119,6
29121,6
29123,6
29125,6
29127,5
29129,6
29131,6
29133,6
29135,6
29137,6
29139,6
29141,6
29143,5
29145,4
29147,5
29149,6
29151,6
29153,6
29155,6
29157,6
29159,5
29161,5
29163,6
29165,2
29167,6
