fips,nchs
01001,3
01003,5
01005,5
01007,2
01009,2
01011,6
01013,6
01015,4
01017,5
01019,6
01021,2
01023,6
01025,6
01027,6
01029,6
01031,5
01033,4
01035,6
01037,5
01039,6
01041,6
01043,5
01045,5
01047,5
01049,5
01051,3
01053,6
01055,4
01057,6
01059,6
01061,4
01063,4
01065,4
01067,4
01069,4
01071,5
01073,1
01075,6
01077,4
01079,4
01081,4
01083,3
01085,3
01087,5
01089,3
01091,6
01093,6
01095,5
01097,3
01099,6
01101,3
01103,4
01105,6
01107,6
01109,5
01111,6
01113,3
01115,2
01117,2
01119,6
01121,5
01123,5
01125,4
01127,2
01129,6
01131,6
01133,6
02013,6
02016,6
02020,3
02050,6
02060,6
02068,6
02070,6
02090,4
02100,6
02105,6
02110,5
02122,6
02130,5
02150,5
02164,6
02170,3
02180,6
02185,6
02188,6
02195,6
02198,6
02201,6
02220,6
02230,6
02232,6
02240,6
02261,6
02270,6
02275,6
02280,6
02282,6
02290,6
04001,6
04003,5
04005,4
04007,5
04009,5
04011,5
04012,6
04013,1
04015,5
04017,6
04019,3
04021,2
04023,5
04025,4
04027,4
05001,6
05003,6
05005,5
05007,3
05009,5
05011,6
05013,5
05015,6
05017,6
05019,5
05021,6
05023,6
05025,4
05027,5
05029,6
05031,4
05033,3
05035,2
05037,6
05039,6
05041,6
05043,6
05045,3
05047,3
05049,6
05051,4
05053,3
05055,5
05057,5
05059,6
05061,6
05063,5
05065,6
05067,6
05069,4
05071,6
05073,6
05075,6
05077,6
05079,4
05081,6
05083,6
05085,3
05087,3
05089,6
05091,4
05093,5
05095,6
05097,6
05099,5
05101,5
05103,5
05105,3
05107,5
05109,6
05111,4
05113,6
05115,5
05117,6
05119,3
05121,6
05123,5
05125,3
05127,6
05129,6
05131,3
05133,6
05135,6
05137,6
05139,5
05141,6
05143,3
05145,5
05147,6
05149,5
06001,1
06003,6
06005,6
06007,4
06009,6
06011,6
06013,2
06015,5
06017,2
06019,3
06021,6
06023,5
06025,4
06027,5
06029,3
06031,4
06033,5
06035,5
06037,1
06039,4
06041,2
06043,6
06045,5
06047,4
06049,6
06051,6
06053,3
06055,4
06057,5
06059,1
06061,2
06063,6
06065,1
06067,1
06069,2
06071,2
06073,1
06075,1
06077,3
06079,3
06081,2
06083,3
06085,1
06087,3
06089,4
06091,6
06093,6
06095,3
06097,3
06099,3
06101,4
06103,5
06105,6
06107,3
06109,5
06111,3
06113,2
06115,4
08001,2
08003,6
08005,2
08007,6
08009,6
08011,6
08013,3
08014,2
08015,6
08017,6
08019,2
08021,6
08023,6
08025,6
08027,6
08029,6
08031,1
08033,6
08035,2
08037,5
08039,2
08041,3
08043,5
08045,6
08047,2
08049,6
08051,6
08053,6
08055,6
08057,6
08059,2
08061,6
08063,6
08065,5
08067,5
08069,3
08071,6
08073,6
08075,5
08077,4
08079,6
08081,6
08083,6
08085,5
08087,5
08089,6
08091,6
08093,2
08095,6
08097,6
08099,6
08101,4
08103,6
08105,6
08107,6
08109,6
08111,6
08113,6
08115,6
08117,5
08119,3
08121,6
08123,4
08125,6
09001,3
09003,1
09005,5
09007,2
09009,3
09011,3
09013,2
09015,5
10001,4
10003,2
10005,5
11001,1
12001,4
12003,2
12005,4
12007,6
12009,3
12011,2
12013,6
12015,4
12017,5
12019,2
12021,3
12023,5
12027,5
12029,6
12031,1
12033,3
12035,5
12037,6
12039,3
12041,4
12043,6
12045,6
12047,6
12049,5
12051,5
12053,2
12055,5
12057,1
12059,6
12061,4
12063,6
12065,3
12067,6
12069,2
12071,3
12073,3
12075,6
12077,6
12079,6
12081,3
12083,3
12085,3
12086,1
12087,5
12089,2
12091,4
12093,5
12095,1
12097,2
12099,2
12101,2
12103,1
12105,3
12107,5
12109,2
12111,3
12113,3
12115,3
12117,2
12119,5
12121,6
12123,6
12125,6
12127,3
12129,3
12131,6
12133,6
13001,6
13003,5
13005,6
13007,4
13009,5
13011,6
13013,2
13015,2
13017,5
13019,6
13021,4
13023,6
13025,4
13027,4
13029,3
13031,5
13033,3
13035,2
13037,6
13039,5
13043,6
13045,2
13047,3
13049,6
13051,3
13053,3
13055,5
13057,2
13059,4
13061,6
13063,2
13065,6
13067,2
13069,5
13071,5
13073,3
13075,6
13077,2
13079,4
13081,5
13083,3
13085,2
13087,5
13089,2
13091,6
13093,6
13095,4
13097,2
13099,6
13101,4
13103,3
13105,6
13107,6
13109,6
13111,6
13113,2
13115,4
13117,2
13119,6
13121,1
13123,6
13125,6
13127,4
13129,5
13131,6
13133,6
13135,2
13137,5
13139,4
13141,5
13143,2
13145,3
13147,6
13149,2
13151,2
13153,4
13155,5
13157,6
13159,2
13161,6
13163,6
13165,6
13167,5
13169,4
13171,2
13173,4
13175,5
13177,4
13179,4
13181,6
13183,4
13185,4
13187,6
13189,3
13191,4
13193,6
13195,4
13197,3
13199,2
13201,6
13205,6
13207,4
13209,5
13211,6
13213,4
13215,3
13217,2
13219,4
13221,4
13223,2
13225,5
13227,2
13229,5
13231,2
13233,5
13235,6
13237,6
13239,5
13241,6
13243,6
13245,3
13247,2
13249,5
13251,6
13253,6
13255,2
13257,5
13259,6
13261,5
13263,6
13265,6
13267,6
13269,6
13271,6
13273,4
13275,5
13277,5
13279,5
13281,6
13283,6
13285,5
13287,6
13289,4
13291,6
13293,5
13295,3
13297,2
13299,5
13301,6
13303,6
13305,5
13307,6
13309,6
13311,6
13313,4
13315,6
13317,6
13319,6
13321,4
15001,5
15003,3
15005,6
15007,5
15009,5
16001,3
16003,6
16005,4
16007,6
16009,6
16011,5
16013,6
16015,3
16017,6
16019,4
16021,6
16023,6
16025,6
16027,3
16029,6
16031,5
16033,6
16035,6
16037,6
16039,5
16041,4
16043,5
16045,3
16047,6
16049,6
16051,4
16053,5
16055,4
16057,5
16059,6
16061,6
16063,6
16065,5
16067,5
16069,4
16071,6
16073,3
16075,5
